IUG/7:
7001         25 PROGRAM
7002         22 PROGRAM
7002*        23 PROGRAM
7003         12 PROGRAM
7004         20 PROGRAM
7005         46 PROGRAM
7006         28 PROGRAM
7006*        24 PROGRAM
7007         41 PROGRAM
7008         42 PROGRAM
7008*        44 PROGRAM
7009/1       42 PROGRAM
7009/2       15 PROGRAM
7010         45 PROGRAM
7011         19 PROGRAM
7012          9 PROGRAM
7013         49 PROGRAM
7014         12 PROGRAM
7015         39 PROGRAM
7016         34 PROGRAM
7017         39 PROGRAM
7018         40 PROGRAM
7019         38 PROGRAM
7020         30 PROGRAM
7021         32 PROGRAM
7022         35 PROGRAM
7022*        36 PROGRAM
7023         50 PROGRAM
7024         33 PROGRAM
7025         43 PROGRAM
7026         12 PROGRAM
7027         26 PROGRAM
7029         33 PROGRAM
7029*        38 PROGRAM
7030         17 PROGRAM
7031          8 PROGRAM
7032         20 PROGRAM
7033         33 PROGRAM
7034          7 PROGRAM
7035         13 PROGRAM
7036          4 PROGRAM
7037         31 PROGRAM
7038          4 PROGRAM
7039         15 PROGRAM
7040         20 PROGRAM
7042         22 PROGRAM
7043         29 PROGRAM
7044         11 PROGRAM
7045         26 PROGRAM
7046          5 PROGRAM
7048         14 PROGRAM
